pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
6123,39,1,5,5,5,5,5,5,5,5,5
6125,22,0,5,5,5,5,5,5,5,5,5
6126,57,1,5,5,5,5,5,5,5,5,5
6127,47,1,5,5,5,5,5,5,5,5,5
6129,44,0,5,5,5,5,5,5,5,5,5
6130,44,0,5,5,5,5,5,5,5,5,5
6131,45,1,3,4,4,4,4,4,4,4, 
6132,47,0,5,5,5,5,5,5,5,5,5
6133,57,0,5,5,5,5,5,5,4,5, 
6134,24,0,4,5,5,5,3,3,4,4,3
6135,36,1,5,5,5,5,4,4,4,5, 
6136,26,0,5,4,5,4,4,4,4,4,4
6137,25,1,5,4,5,4,4,4,4,4,4
6141,56,0,5,5,5,5,4,3,3,5,3
6143,63,0,4,5,5,5,4,4,5,5, 
6144,68,0,4,3,4,4,4,4,4,4,4
6145,29,1,5,5,5,5,4,4,4,4,4
6152,46,0,5,5,5,5,5,5,5,5,5
6153,55,0,5,5,5,5,5,5,5,5,5
6155,31,0,5,5,5,5,5,5,5,5,5
6156,57,0,4,4,4,4,4,4,4,4,4
6158,29,0,5,5,5,5,5,5,5,5,5
6159,51,0,5,5,5,5,5,1,5,5,3
6160,54,1,5,5,5,5,5,5,5,5,5
6161,52,0,5,5,5,5,5,4,4,5,5
6165,62,1,4,5,5,5,5,5,5,5,4
6166,57,0,5,5,5,5,5,5,5,5,5
6170,32,0,5,5,5,5,4,4,3,4,4
6172,36,1,4,5,4,4,3,3,4,4,3
6173,41,0,4,4,5,5,5,4,5,5,5
6173,56,0,3,5,3,4,5,3,4,4,3
6174,36,1,1,5,5,5,5,3,5,5, 
6175,43,1,5,5,5,5,5,5,5,5,5
6176,51,0,5,5,5,5,5,5,5,5,5
6177,46,1,5,5,5,5,5,5,5,5,5
6178,44,0,5,5,5,5,5,5,5,5,5
6179,43,1,5,5,5,5,5,5,5,5,5
6180,18,1,5,5,5,5,5,3,3,5,3
6181,32,1,5,5,5,5,5,4,4,5,4
6182,32,1,5,5,5,5,5,4,4,5,4
6183,24,1,5,5,5,5,5,4,5,5,5
